	author	volumes	weight	pub_date_avg	books	wordcount	ethnicity	corpus
49	Tagore, Rabindranath	18.0	1.0	1923.0	18	1004212	Nonwhite	Foreign
45	Shiel, Matthew Phipps	12.0	1.0	1908.0833333333333	12	1425703	Nonwhite	Foreign
2	Anand, Mulk Raj	10.0	1.0	1935.5	10	730692	Nonwhite	Foreign
44	Schreiner, Olive	9.0	1.0	1909.6666666666667	9	776147	White	Foreign
38	Plomer, William	6.0	1.0	1931.0	6	465459	White	Foreign
30	Markino, Yoshio	5.0	1.0	1911.8	5	341385	Nonwhite	Foreign
23	James, C.L.R. [Cyril Lionel Robert]	4.0	1.0	1937.25	4	497192	Nonwhite	Foreign
48	Stead, Christina	4.0	1.0	1936.5	4	925607	White	Foreign
42	Rhys, Jean	4.0	1.0	1932.75	4	252796	White	Foreign
14	Duncan, Sara Jeannette	4.0	1.0	1894.75	4	353206	White	Foreign
47	Sorabji, Cornelia	3.0	1.0	1923.6666666666667	3	252831	Nonwhite	Foreign
9	Campbell, Roy	3.0	1.0	1932.6666666666667	3	90278	White	Foreign
13	Dover, Cedric	2.0	1.0	1938.0	2	132788	Nonwhite	Foreign
43	Scholes, Theophilus Edward Samuel	2.0	1.0	1902.0	2	357023	Nonwhite	Foreign
36	Pennell, Alice M. Sorabji	2.0	1.0	1914.5	2	194735	Nonwhite	Foreign
8	Brookes, Edgar	2.0	1.0	1930.5	2	289550	White	Foreign
28	Malabari, Behramji M.	2.0	1.0	1891.0	2	186762	Nonwhite	Foreign
37	Plaatje, Sol	2.0	1.0	1911.5	2	232064	Nonwhite	Foreign
33	Nyabongo, Hosea Akiki	1.0	1.0	1936.0	1	89949	Nonwhite	Foreign
34	Omoniyi, Bandele	1.0	1.0	1908.0	1	33370	Nonwhite	Foreign
35	Padmore, George	1.0	1.0	1936.0	1	151377	Nonwhite	Foreign
32	Nehru, S.K.	1.0	1.0	1936.0	1	131388	Nonwhite	Foreign
0	Ali, Ahmed	1.0	1.0	1940.0	1	94449	Nonwhite	Foreign
39	Ramabai, Pandita	1.0	1.0	1884.0	1	32903	Nonwhite	Foreign
40	Rattray, Robert Sutherland	1.0	1.0	1929.0	1	221576	White	Foreign
41	Reitz, Deneys	1.0	1.0	1938.0	1	122263	White	Foreign
46	Smuts, Jan	1.0	1.0	1930.0	1	49878	White	Foreign
50	Van Der Post, Laurens	1.0	1.0	1934.0	1	105042	White	Foreign
51	Walrond, Eric	1.0	1.0	1926.0	1	55223	Nonwhite	Foreign
31	Mukharji, T.N.	1.0	1.0	1889.0	1	130742	Nonwhite	Foreign
26	Kenyatta, Jomo	1.0	1.0	1938.0	1	120836	Nonwhite	Foreign
29	Marais, Johannes Stephanus	1.0	1.0	1939.0	1	143245	Nonwhite	Foreign
27	Loram, Charles Templeman	1.0	1.0	1917.0	1	128339	White	Foreign
3	Azikiwe, Benjamin Nnamdi	1.0	1.0	1937.0	1	120283	Nonwhite	Foreign
4	Baijnath, Lala	1.0	1.0	1893.0	1	102608	Nonwhite	Foreign
5	Bliss, Eliot	1.0	1.0	1931.0	1	104523	White	Foreign
6	Blyden, E. W.	1.0	1.0	1908.0	1	29289	Nonwhite	Foreign
7	Blyden, Edward Wilmott	1.0	1.0	1887.0	1	201884	Nonwhite	Foreign
10	Casely Hayford, J. E. 	1.0	1.0	1911.0	1	63511	Nonwhite	Foreign
11	Charlton, Lewis	1.0	1.0	1885.0	1	10109	Nonwhite	Foreign
12	Constantine , Learie	1.0	1.0	1933.0	1	77224	Nonwhite	Foreign
15	Dutt, Romesh Chunder	1.0	1.0	1890.0	1	114413	Nonwhite	Foreign
16	Frankel, Sally	1.0	1.0	1938.0	1	207624	White	Foreign
17	Gaunt, Mary	1.0	1.0	1911.0	1	140267	White	Foreign
18	Gee, Bhagvat Sinh	1.0	1.0	1886.0	1	53334	Nonwhite	Foreign
19	Ghose, Sudhindra Nath	1.0	1.0	1928.0	1	74520	Nonwhite	Foreign
20	Haldar, Rakhal Das	1.0	1.0	1903.0	1	41967	Nonwhite	Foreign
21	Huxley, Elspeth	1.0	1.0	1935.0	1	131602	White	Foreign
22	Jabavu, Davidson Don Tengo	1.0	1.0	1920.0	1	60840	Nonwhite	Foreign
24	Karaka, Dosabhai Framji	1.0	1.0	1884.0	1	104019	Nonwhite	Foreign
25	Karve, Dhondo Keshav	1.0	1.0	1936.0	1	63745	Nonwhite	Foreign
1	Ali, Mohomed Duse	1.0	1.0	1911.0	1	124143	Nonwhite	Foreign
52	de Kiewiet, Cornelis	1.0	1.0	1937.0	1	144339	White	Foreign
